47.787933,13.036525
47.787972,13.036599
47.788003,13.036681
47.788028,13.036771
47.788050,13.036869
47.788069,13.036974
47.788087,13.037086
47.788100,13.037200
47.788107,13.037313
47.788106,13.037421
47.788095,13.037521
47.788073,13.037611
47.788044,13.037694
47.788009,13.037771
47.787972,13.037843
47.787934,13.037913
47.787897,13.037981
47.787859,13.038048
47.787817,13.038114
47.787771,13.038180
47.787720,13.038245
47.787662,13.038311
47.787599,13.038377
47.787533,13.038443
47.787466,13.038509
47.787398,13.038576
47.787331,13.038643
47.787264,13.038707
47.787197,13.038766
47.787131,13.038818
47.787065,13.038860
47.786999,13.038892
47.786935,13.038910
47.786872,13.038913
47.786813,13.038899
47.786759,13.038865
47.786709,13.038812
47.786668,13.038741
47.786636,13.038655
47.786617,13.038556
47.786611,13.038446
47.786619,13.038326
47.786639,13.038198
47.786669,13.038065
47.786706,13.037927
47.786750,13.037787
47.786797,13.037646
47.786847,13.037507
47.786899,13.037372
47.786951,13.037244
47.787003,13.037125
47.787054,13.037015
47.787106,13.036912
47.787159,13.036815
47.787215,13.036722
47.787274,13.036630
47.787337,13.036542
47.787403,13.036462
47.787472,13.036397
47.787543,13.036351
47.787616,13.036329
47.787689,13.036333
47.787759,13.036359
47.787825,13.036402
47.787884,13.036458
